,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order Code,Order Date,Customer Name ,Address,City,State,Customer Type,Medical Sales Reprensentative,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Shipping Date,Cost_Price,Retal_Price,Profit_Margin3,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Sub-Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5268-1,10/11/2019,Vijay Deshmukh,"233 Chestnut Lane, Suite 401, Building A",Kolkata,Kolkata,Consumer,Anjali Mehta,Not Specified,X-ray machines  ,Consumables,Medium pack,Regular Air,10/20/2019,2.45,$3.89,1.44,2,$4.90,7%,$0.34,$4.56,$7.01,$11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5268-2,10/11/2019,Sneha Reddy,"627 Silver Birch Drive, Apartment 6B, Building F",Delhi,Delhi,Consumer,Anjali Mehta,Not Specified,MRI machines  ,Pharmaceuticals,Large Pack,Regular Air,12/4/2019,67.73,$165.20,97.47,6,$406.38,9%,$36.57,$369.81,$19.99,$389.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5274-1,10/13/2019,Manish Tiwari,"145 Redwood Trail, Flat 7, Building D",Mumbai,Maharashtra,Corporate,Aarav Patel,Critical,CT scanners  ,Consumables,Jumbo Pack,Regular Air,11/3/2019,62.4,$155.99,93.59,48,"$2,995.20",4%,$119.81,"$2,875.39",$8.08,"$2,883.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5274-2,10/13/2019,Pooja Mishra,"998 Golden Oaks Boulevard, Unit 23, Building E",Kolkata,Kolkata,Corporate,Aarav Patel,Critical,Blood glucose meters  ,Pharmaceuticals,Jumbo Pack,Regular Air,11/22/2019,3.4,$5.40,2,8,$27.20,8%,$2.18,$25.02,$7.78,$32.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5335-1,12/11/2019,Karan Mehta,"456 Sunset Ridge Road, Apartment 9A, Building B",Delhi,Delhi,Home Office,Anjali Mehta,Low,Nebulizers  ,Medical equipment,Jumbo Pack,Regular Air,2/9/2020,5.33,$8.60,3.27,6,$31.98,4%,$1.28,$30.70,$6.19,$36.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5335-2,12/11/2019,Ritu Chawla,"372 Lavender Way, Suite 105, Building F",Mumbai,Maharashtra,Home Office,Anjali Mehta,Low,Pulse oximeters  ,Consumables,Medium pack,Regular Air,1/17/2020,2.29,$3.58,1.29,30,$68.70,1%,$0.69,$68.01,$1.63,$69.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358-1,1/4/2020,Harish Bansal,"120 Bluebell Drive, Flat 2B, Building C",Kolkata,Kolkata,Consumer,Sanjay Joshi,Critical,Suction machines  ,Pharmaceuticals,Small pack,Regular Air,1/9/2020,3.52,$5.58,2.06,49,$172.48,2%,$3.45,$169.03,$2.99,$172.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5358-2,1/4/2020,Nidhi Jain,"786 Shady Lane, Unit 4, Building D",Delhi,Delhi,Consumer,Sanjay Joshi,Critical,Fetal dopplers  ,Pharmaceuticals,Medium pack,Regular Air,1/17/2020,22.18,$54.10,31.92,42,$931.56,2%,$18.63,$912.93,$19.99,$932.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5367-1,1/10/2020,Suresh Malhotra,"889 Birchwood Circle, Apartment 2A, Building A",Kolkata,Kolkata,Home Office,Aditi Kapoor,Medium,Autoclaves  ,Medical equipment,Jumbo Pack,Express Air,3/9/2020,3.4,$5.40,2,9,$30.60,9%,$2.75,$27.85,$7.78,$35.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5367-2,1/10/2020,Komal Yadav,"512 Highland Drive, Suite 600, Building C",Kolkata,Kolkata,Home Office,Aditi Kapoor,Medium,Dental chairs  ,Pharmaceuticals,Jumbo Pack,Regular Air,2/13/2020,0.94,$2.08,1.14,43,$40.42,5%,$2.02,$38.40,$2.56,$40.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5402-1,2/7/2020,Ajay Agarwal,"678 Willow Springs Boulevard, Flat 11, Building D",Delhi,Delhi,Corporate,Anjali Mehta,Low,Scalpel blades  ,Pharmaceuticals,Large Pack,Regular Air,2/13/2020,377.99,$599.99,222,48,"$18,143.52",8%,"$1,451.48","$16,692.04",$24.49,"$16,716.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5402-2,2/7/2020,Preeti Kaur,"322 Cedarwood Avenue, Apartment 7B, Building E",Mumbai,Maharashtra,Corporate,Anjali Mehta,Low,Forceps  ,Medical equipment,Jumbo Pack,Express Air,4/6/2020,2.59,$3.98,1.39,11,$28.49,10%,$2.85,$25.64,$2.97,$28.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5479-1,5/6/2020,Ramesh Joshi,"905 Fern Ridge Road, Unit 6, Building F",Mumbai,Maharashtra,Home Office,Aarav Patel,Not Specified,Scissors  ,Consumables,Small pack,Regular Air,5/31/2020,2.26,$3.58,1.32,25,$56.50,0%,$0.00,$56.50,$5.47,$61.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5479-2,5/6/2020,Varsha Dubey,"113 Autumn Grove Lane, Suite 302, Building B",Kolkata,Kolkata,Home Office,Aarav Patel,Not Specified,Retractors  ,Medical equipment,Small pack,Regular Air,6/23/2020,0.87,$1.81,0.94,45,$39.15,8%,$3.13,$36.02,$0.75,$36.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5539-1,6/29/2020,Amit Saxena,"275 Forest Hill Road, Apartment 9A, Building C",Delhi,Delhi,Home Office,Arjun Desai,Not Specified,Needle holders  ,Consumables,Small pack,Regular Air,8/8/2020,4.53,$7.30,2.77,50,$226.50,2%,$4.53,$221.97,$7.72,$229.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5539-2,6/29/2020,Shalini Kapoor,"645 Crystal Meadows Drive, Flat 4, Building D",Mumbai,Maharashtra,Home Office,Arjun Desai,Not Specified,Sutures  ,Pharmaceuticals,Small pack,Regular Air,8/17/2020,1.53,$2.47,0.94,43,$65.79,2%,$1.32,$64.47,$1.02,$65.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5558-1,7/18/2020,Gaurav Chauhan,"812 Maplewood Terrace, Suite 100, Building E",Mumbai,Maharashtra,Consumer,Priya Reddy,Low,Bone saws  ,Consumables,Medium pack,Regular Air,8/30/2020,0.92,$1.81,0.89,8,$7.36,5%,$0.37,$6.99,$1.56,$8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5558-2,7/18/2020,Deepa Rana,"530 Meadowview Parkway, Apartment 2B, Building A",Kolkata,Kolkata,Consumer,Priya Reddy,Low,Hemostats  ,Pharmaceuticals,Large Pack,Regular Air,9/13/2020,1.9,$3.28,1.38,41,$77.90,5%,$3.90,$74.01,$1.95,$75.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5566-1,7/26/2020,Anil Shukla,"277 Pinecrest Drive, Unit 15, Building F",Delhi,Delhi,Home Office,Simran Bansal,Low,Surgical staplers  ,Pharmaceuticals,Jumbo Pack,Regular Air,8/15/2020,377.99,$599.99,222,25,"$9,449.75",7%,$661.48,"$8,788.27",$24.49,"$8,812.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5566-2,7/26/2020,Ruchi Maheshwari,"439 Oakwood Street, Flat 8, Building D",Mumbai,Maharashtra,Home Office,Simran Bansal,Low,Electrocautery pens  ,Pharmaceuticals,Large Pack,Regular Air,9/6/2020,1.6,$2.62,1.02,10,$16.00,8%,$1.28,$14.72,$0.80,$15.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599-1,8/28/2020,Vikas Sethi,"721 Rosehill Crescent, Apartment 11A, Building E",Kolkata,Kolkata,Corporate,Anjali Mehta,High,IV bags  ,Medical equipment,Small pack,Delivery Truck,10/4/2020,278.99,$449.99,171,15,"$4,184.85",4%,$167.39,"$4,017.46",$49.00,"$4,066.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5599-2,8/28/2020,Sanjay Thakur,"333 Aspen Grove Road, Suite 601, Building B",Delhi,Delhi,Corporate,Anjali Mehta,High,Catheters  ,Consumables,Medium pack,Regular Air,10/6/2020,2.52,$4.00,1.48,14,$35.28,6%,$2.12,$33.16,$1.30,$34.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5609-1,9/7/2020,Pallavi Mathur,"888 Riverbend Road, Unit 4, Building C",Mumbai,Maharashtra,Home Office,Neha Gupta,Not Specified,Syringes  ,Medical equipment,Large Pack,Regular Air,9/9/2020,1.18,$1.88,0.7,47,$55.46,6%,$3.33,$52.13,$1.49,$53.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5609-2,9/7/2020,Kunal Bhatia,"612 Summit Hill Drive, Flat 5B, Building D",Kolkata,Kolkata,Home Office,Neha Gupta,Not Specified,Hypodermic needles  ,Consumables,Jumbo Pack,Regular Air,10/22/2020,1.31,$2.84,1.53,39,$51.09,8%,$4.09,$47.00,$0.93,$47.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5621-1,9/21/2020,Jyoti Das,"211 Springdale Avenue, Suite 309, Building E",Delhi,Delhi,Consumer,Vikram Sharma,Medium,Adhesive bandages  ,Pharmaceuticals,Small pack,Regular Air,10/18/2020,19.78,$45.99,26.21,23,$454.94,10%,$45.49,$409.45,$4.99,$414.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5621-2,9/21/2020,Abhishek Raina,"735 Horizon Ridge Lane, Apartment 7A, Building B",Mumbai,Maharashtra,Consumer,Vikram Sharma,Medium,Gauze pads  ,Consumables,Medium pack,Regular Air,11/16/2020,0.93,$1.48,0.55,33,$30.69,6%,$1.84,$28.85,$0.70,$29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5655-1,10/17/2020,Swati Pandey,"160 Cottonwood Trail, Unit 12, Building F",Kolkata,Kolkata,Home Office,Vikram Sharma,Medium,Medical tapes  ,Pharmaceuticals,Large Pack,Regular Air,10/25/2020,5.19,$12.98,7.79,11,$57.09,8%,$4.57,$52.52,$3.14,$55.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5655-2,10/17/2020,Rahul Kulkarni,"244 Evergreen Street, Suite 100, Building C",Delhi,Delhi,Home Office,Vikram Sharma,Medium,Cotton rolls  ,Medical equipment,Jumbo Pack,Regular Air,11/18/2020,2.52,$4.00,1.48,19,$47.88,1%,$0.48,$47.40,$1.30,$48.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5724-1,12/27/2020,Kirti Malviya,"105 Birchwood Drive, Apartment 6B, Building A",Mumbai,Maharashtra,Small Business,Sanjay Joshi,High,Alcohol swabs  ,Consumables,Jumbo Pack,Regular Air,1/12/2021,14.95,$34.76,19.81,10,$149.50,3%,$4.49,$145.02,$8.22,$153.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5724-2,12/27/2020,Vivek Rawat,"402 Maple Street, Unit 15, Building D",Kolkata,Kolkata,Small Business,Sanjay Joshi,High,Sterile gloves  ,Pharmaceuticals,Jumbo Pack,Regular Air,1/2/2021,2.31,$3.78,1.47,41,$94.71,2%,$1.89,$92.82,$0.71,$93.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5762-1,1/20/2021,Anita Salvi,"611 Willow Lane, Flat 9, Building E",Delhi,Delhi,Consumer,Sanjay Joshi,Not Specified,Surgical drapes  ,Consumables,Medium pack,Regular Air,2/5/2021,4.48,$8.14,3.66,23,$103.04,7%,$7.21,$95.83,$3.12,$98.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5762-2,1/20/2021,Rajiv Goel,"253 Pine Ridge Road, Suite 302, Building F",Kolkata,Kolkata,Consumer,Sanjay Joshi,Not Specified,Face masks  ,Pharmaceuticals,Small pack,Regular Air,3/10/2021,1.18,$1.88,0.7,33,$38.94,5%,$1.95,$36.99,$1.49,$38.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768-1,1/22/2021,Seema Bhatt,"118 Oak Hill Boulevard, Apartment 4A, Building C",Delhi,Delhi,Corporate,Priya Reddy,Critical,PPE kits  ,Medical equipment,Medium pack,Regular Air,3/12/2021,8.82,$20.99,12.17,3,$26.46,1%,$0.26,$26.20,$4.81,$31.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768-2,1/22/2021,Lokesh Chauhan,"533 Meadowbrook Avenue, Unit 8, Building B",Mumbai,Maharashtra,Corporate,Priya Reddy,Critical,Caps and shoe covers  ,Consumables,Jumbo Pack,Express Air,2/27/2021,13.88,$22.38,8.5,42,$582.96,7%,$40.81,$542.15,$15.10,$557.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5768-2,1/22/2021,Meghna Pillai,"341 Shady Grove Lane, Flat 2B, Building E",Mumbai,Maharashtra,Corporate,Priya Reddy,Critical,Thermometers  ,Pharmaceuticals,Jumbo Pack,Regular Air,3/20/2021,6.39,$19.98,13.59,45,$287.55,6%,$17.25,$270.30,$4.00,$274.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804-1,2/18/2021,Parag Kulkarni,"889 Rosewood Road, Suite 210, Building D",Kolkata,Kolkata,Home Office,Vikram Sharma,High,Test tubes  ,Pharmaceuticals,Large Pack,Regular Air,4/19/2021,3.37,$5.53,2.16,12,$40.44,6%,$2.43,$38.01,$6.98,$44.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5804-2,2/18/2021,Ranjana Menon,"763 Sunset Boulevard, Apartment 5A, Building A",Delhi,Delhi,Home Office,Vikram Sharma,High,Blood collection bags  ,Medical equipment,Jumbo Pack,Regular Air,4/2/2021,2.16,$3.85,1.69,12,$25.92,10%,$2.59,$23.33,$0.70,$24.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869-1,4/25/2021,Naveen Dutta,"284 Cedar Crest Road, Unit 4, Building F",Mumbai,Maharashtra,Small Business,Vikram Sharma,Critical,Lancets  ,Pharmaceuticals,Small pack,Regular Air,6/6/2021,0.24,$1.26,1.02,35,$8.40,10%,$0.84,$7.56,$0.70,$8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5869-2,4/25/2021,Sakshi Arora,"549 Crystal Park Lane, Suite 107, Building C",Kolkata,Kolkata,Small Business,Vikram Sharma,Critical,Wound dressings  ,Pharmaceuticals,Small pack,Regular Air,5/17/2021,2.39,$4.26,1.87,8,$19.12,10%,$1.91,$17.21,$1.20,$18.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5887-1,5/11/2021,Yashwant Sinha,"127 Springhill Drive, Apartment 3B, Building E",Delhi,Delhi,Corporate,Aarav Patel,Medium,Disinfectant solutions  ,Medical equipment,Small pack,Regular Air,6/4/2021,4.19,$10.23,6.04,46,$192.74,5%,$9.64,$183.10,$4.68,$187.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5887-2,5/11/2021,Aparna Dixit,"290 Maple Ridge Street, Unit 11, Building D",Mumbai,Maharashtra,Corporate,Aarav Patel,Medium,Antibiotics  ,Consumables,Jumbo Pack,Regular Air,5/21/2021,3.65,$5.98,2.33,4,$14.60,7%,$1.02,$13.58,$1.49,$15.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5943-1,6/25/2021,Shyam Varma,"530 Oakwood Parkway, Suite 409, Building F",Kolkata,Kolkata,Home Office,Arjun Desai,Medium,Pain relievers  ,Medical equipment,Jumbo Pack,Regular Air,8/4/2021,1.09,$2.60,1.51,26,$28.34,8%,$2.27,$26.07,$2.40,$28.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5943-2,6/25/2021,Namrata Singh,"823 Pine Meadow Road, Apartment 8A, Building B",Delhi,Delhi,Home Office,Arjun Desai,Medium,Antiseptic creams  ,Consumables,Medium pack,Regular Air,8/2/2021,42.11,$80.98,38.87,34,"$1,431.74",2%,$28.63,"$1,403.11",$7.18,"$1,410.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5990-1,7/25/2021,Kishore Solanki,"410 River Trail, Flat 6B, Building D",Kolkata,Kolkata,Home Office,Anjali Mehta,High,IV fluids  ,Pharmaceuticals,Small pack,Express Air,7/29/2021,1.88,$3.14,1.26,43,$80.84,7%,$5.66,$75.18,$1.14,$76.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5990-2,7/25/2021,Amrita Nanda,"532 Redwood Grove Avenue, Unit 7, Building E",Kolkata,Kolkata,Home Office,Anjali Mehta,High,Vaccines  ,Consumables,Medium pack,Regular Air,8/11/2021,1.46,$3.57,2.11,19,$27.74,8%,$2.22,$25.52,$4.17,$29.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5997-1,7/27/2021,Rajendra Rathore,"697 Shady Hills Road, Suite 601, Building C",Delhi,Delhi,Small Business,Vikram Sharma,Low,Anti-inflammatory drugs  ,Pharmaceuticals,Jumbo Pack,Express Air,8/11/2021,0.93,$1.48,0.55,37,$34.41,4%,$1.38,$33.03,$0.70,$33.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5997-2,7/27/2021,Sonal Kamat,"450 Cherry Blossom Street, Apartment 4B, Building F",Mumbai,Maharashtra,Small Business,Vikram Sharma,Low,Insulin  ,Pharmaceuticals,Jumbo Pack,Regular Air,7/28/2021,11.11,$19.84,8.73,28,$311.08,8%,$24.89,$286.19,$4.10,$290.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6014-1,8/10/2021,Shivani Soni,"128 Willow Creek Parkway, Suite 210, Building D",Mumbai,Maharashtra,Small Business,Sanjay Joshi,Not Specified,Anticoagulants  ,Pharmaceuticals,Large Pack,Regular Air,8/18/2021,2.76,$4.38,1.62,24,$66.24,2%,$1.32,$64.92,$6.21,$71.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6014-2,8/10/2021,Mahesh Naik,"766 Meadowbrook Lane, Unit 9, Building A",Kolkata,Kolkata,Small Business,Sanjay Joshi,Not Specified,Anesthetics  ,Medical equipment,Jumbo Pack,Regular Air,10/9/2021,4.1,$9.31,5.21,30,$123.00,3%,$3.69,$119.31,$3.98,$123.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6091-1,10/15/2021,Geeta Shetty,"315 Birchfield Drive, Apartment 6A, Building B",Delhi,Delhi,Consumer,Neha Gupta,Low,Sedatives  ,Consumables,Small pack,Express Air,11/11/2021,1.53,$2.47,0.94,45,$68.85,7%,$4.82,$64.03,$1.02,$65.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6091-2,10/15/2021,Nitin Tandon,"849 Cedar Ridge Lane, Suite 403, Building E",Mumbai,Maharashtra,Consumer,Neha Gupta,Low,Oral rehydration salts  ,Medical equipment,Small pack,Regular Air,10/27/2021,3.48,$5.43,1.95,11,$38.28,0%,$0.00,$38.28,$0.95,$39.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6104-1,11/1/2021,Simran Kohli,"451 Rosewood Park, Flat 8B, Building C",Mumbai,Maharashtra,Small Business,Neha Gupta,Low,Antiviral drugs  ,Consumables,Small pack,Regular Air,11/11/2021,2.39,$4.26,1.87,47,$112.33,7%,$7.86,$104.47,$1.20,$105.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6104-2,11/1/2021,Prakash Dev,"120 Autumn Trail, Unit 5, Building F",Kolkata,Kolkata,Small Business,Neha Gupta,Low,Antifungal creams  ,Pharmaceuticals,Small pack,Regular Air,11/28/2021,1.3,$2.88,1.58,17,$22.10,9%,$1.99,$20.11,$1.01,$21.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143-1,12/16/2021,Kusum Rathi,"209 Oak Ridge Lane, Apartment 7A, Building D",Delhi,Delhi,Home Office,Aarav Patel,Critical,Blood pressure medications  ,Consumables,Medium pack,Express Air,1/20/2022,6.39,$19.98,13.59,18,$115.02,4%,$4.60,$110.42,$4.00,$114.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6143-2,12/16/2021,Atul Ghosh,"762 Maple Grove Street, Suite 306, Building B",Mumbai,Maharashtra,Home Office,Aarav Patel,Critical,Cholesterol-lowering drugs  ,Pharmaceuticals,Large Pack,Regular Air,1/24/2022,14.95,$34.76,19.81,46,$687.70,9%,$61.89,$625.81,$8.22,$634.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6159-1,12/31/2021,Trisha Banerjee,"326 Cherrywood Lane, Flat 4A, Building F",Kolkata,Kolkata,Home Office,Simran Bansal,High,Emergency antidotes  ,Medical equipment,Jumbo Pack,Regular Air,2/6/2022,4.53,$7.30,2.77,38,$172.14,5%,$8.61,$163.53,$7.72,$171.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6159-2,12/31/2021,Akash Sen,"674 Cedar Creek Road, Unit 10, Building A",Delhi,Delhi,Home Office,Simran Bansal,Medium,Stethoscopes  ,Consumables,Large Pack,Regular Air,1/29/2022,2.29,$3.69,1.4,41,$93.89,1%,$0.94,$92.95,$0.50,$93.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6159-2,12/31/2021,Poonam Kaushik,"189 Golden Grove Boulevard, Suite 108, Building D",Mumbai,Maharashtra,Home Office,Simran Bansal,High,Reflex hammers  ,Pharmaceuticals,Small pack,Express Air,2/19/2022,4.37,$9.11,4.74,21,$91.77,3%,$2.75,$89.02,$2.25,$91.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197-1,2/12/2022,Naveeta Hegde,"291 Fernwood Park, Apartment 2B, Building C",Kolkata,Kolkata,Small Business,Vikram Sharma,Critical,Ophthalmoscopes  ,Consumables,Medium pack,Regular Air,2/24/2022,5.22,$9.85,4.63,48,$250.56,9%,$22.55,$228.01,$4.82,$232.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6197-2,2/12/2022,Ravindra Jindal,"453 Riverstone Avenue, Suite 403, Building E",Delhi,Delhi,Small Business,Vikram Sharma,Critical,Otoscopes  ,Pharmaceuticals,Large Pack,Regular Air,3/31/2022,1.76,$2.94,1.18,18,$31.68,1%,$0.32,$31.36,$0.81,$32.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
